date | value
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-03 | 2
2012-01-11 | 1
2012-02-29 | 1
2014-12-31 | 500
2011-01-03 | 0
2011-01-03 | 1000
2012-01-11 | -1
2012-01-11 | -0.5
2011-01-03 | 1001
2011-01-03 | 2000000000
2015-02-29 | 1
2011-13-01 | 1
2011-04-31 | 1
2011-00-15 | 1
2011-01-00 | 1
2001-42-42 | 1
2008-01-01 | 1
1900-01-01 | 1
2025-01-01 | 0
2011-01-03 | abc
2011-01-03 |
2011-01-03 |    
hello | 1
2011/01/03 | 1
2011-1-3 | 1
2011-01-03 |1
2011-01-03| 1
not_a_date | 1
 | 1
bad input line without separator
